,b6_r1,b6_r2,b6_r3,tc_r1,tc_r2,tc_r3,tc_r4,tc_r5
Gm11909,2.91516,3.01122,2.79787,2.8536,3.00655,3.06959,3.30754,3.12146
Abhd12,6.65273,6.70431,6.59491,6.69921,6.70752,6.6093,6.56168,6.66406
Olfr373,4.489,4.70084,4.56147,5.85239,6.02526,5.11426,5.84685,5.68545
Sned1,4.812,4.75861,4.94472,4.79629,4.77281,4.81074,4.93144,5.04139
Kras,7.378,7.56149,7.60222,7.49242,7.47116,7.52689,7.52168,7.75039
Gm22029,11.6203,11.7803,11.9911,11.6406,11.7172,11.5153,11.8491,11.6852
A730090N16Rik,3.45666,3.46761,3.39855,3.41502,3.49953,3.48256,3.48862,3.75765
Ccnl1,7.46608,7.69755,7.73296,7.65925,7.57249,7.36926,7.67102,7.85255
4930402D18Rik,3.01899,2.84697,2.99515,2.94917,3.05688,2.86253,2.9439,3.37839
Nfkbid,7.9725,8.00039,7.90152,7.9892,7.86255,7.72682,7.7035,7.83087
Plbd2,6.42559,6.42336,6.32835,6.5324,6.47779,6.40983,6.33507,6.43821
Has1,4.41438,4.387,4.51406,4.39165,4.55123,4.49745,4.58511,4.66474
Olfr780,2.90405,2.85623,2.98172,2.87453,3.02483,2.93514,3.26966,3.50079
Gm14546,3.75198,4.03012,3.70003,3.93001,4.04526,4.11618,4.04125,4.21306
Gm11220,4.32559,4.12119,4.10259,3.9911,3.93087,3.8966,4.02691,4.3058
Ptk6,4.09507,4.05688,4.06603,4.18091,4.15476,4.24154,4.35996,4.40635
Gm8906,3.56115,3.73503,3.91316,3.42593,3.77795,3.79327,3.46166,3.86135
D630024D03Rik,3.66378,3.63602,3.81334,3.61773,3.8233,3.89259,3.70795,3.95892
Gm15013,8.91408,9.01673,9.13904,8.94594,8.93102,8.97357,8.95802,9.12674
Dip2b,7.61651,7.59497,7.474,7.69677,7.60299,7.59707,7.59401,7.76457
Tmem117,3.81035,3.66847,3.79216,3.84765,3.98799,3.95681,3.92149,3.87506
Ngrn,7.32619,7.38612,7.47968,7.60059,7.6115,7.51914,7.41697,7.59371
Vps33b,8.27972,8.3014,7.89055,8.55398,8.39285,8.12269,8.02493,7.892
Glyatl3,2.58445,2.37731,2.38103,2.5283,2.5912,2.51675,2.505,2.70453
Gm26429,5.70086,5.88676,6.0651,5.85791,5.85908,5.80778,5.76553,5.42191
H2-Bl,6.44292,6.44611,6.36631,6.42776,6.45229,6.44964,6.55037,6.09866
Gm21294,2.52244,2.3847,2.63976,2.54896,2.45559,2.70108,2.44215,2.91997
Trav6d-6,8.72043,8.81076,8.71088,8.82281,8.7812,8.59785,8.75453,8.7571
Igkj3,7.14426,7.28322,8.39144,7.80909,7.5979,7.98619,8.03799,8.701
Zfp691,6.9126,6.84865,6.74417,7.13945,7.11783,6.99505,6.94283,6.81148
Tmem30c,3.04649,3.0377,2.83009,2.99332,3.18266,3.33307,3.12425,3.41019
n-R5s209,4.67147,4.749,5.20903,4.64482,4.93384,5.19837,5.26701,5.33651
Bmp6,4.83297,4.60998,4.8973,4.66258,4.69892,4.8793,4.62323,4.89807
Gm12309,2.67472,2.55287,2.54819,2.53117,2.50646,2.5992,2.65744,3.03543
Gm14526,3.06332,3.19311,2.95092,2.98069,3.04113,3.19354,2.97322,3.44662
Asb17os,3.85695,4.08978,3.68179,3.86811,3.92604,3.90756,3.96126,4.18116
Kcnk7,4.97682,5.15741,4.94251,4.97718,4.88526,5.01617,4.98252,4.94845
Map3k11,7.62309,7.66905,7.4326,7.8626,7.62828,7.68306,7.5056,7.66667
Mboat2,3.47979,3.50993,3.28324,3.45226,3.47486,3.34986,3.42762,3.79266
Mir873b,2.22752,2.26059,1.9054,1.90275,2.19467,2.16233,2.07219,2.16051
Sos1,6.58527,6.73261,6.51826,6.79843,6.75131,6.60245,6.65122,6.90089
Cep83os,5.3379,5.44109,5.34912,5.2812,5.30211,5.26011,5.27741,5.38806
Uckl1os,4.84688,4.78088,4.96967,4.75858,4.75348,4.79632,4.93552,5.04305
Prpf6,8.15757,8.27306,8.2746,8.21081,8.09033,8.1516,8.10024,8.33893
Dppa3,2.98063,2.90966,2.92794,2.81352,3.00777,2.99714,2.9652,3.11427
Gm5387,2.24723,2.6303,2.45573,2.2115,2.32928,2.57998,2.19418,2.66825
Mir7068,7.16268,7.12097,7.17976,7.31327,7.19907,7.06572,7.37389,7.12437
Mir1928,5.10052,4.97202,5.14053,5.03703,5.05838,4.96336,5.20834,5.17447
Dhfr,5.23424,5.21409,5.21602,5.15779,5.02819,5.11869,5.03445,5.1565
Gm22583,1.68555,1.75555,1.87266,1.47836,1.92863,2.0108,1.85222,2.13776
Gm15559,5.55654,5.33848,5.21965,5.52795,5.63262,5.76729,5.55704,5.62943
Gm22762,3.86336,3.80409,3.79204,3.63771,3.81707,3.96324,3.98339,4.00269
Zcrb1,6.84494,6.78768,6.78176,6.87158,6.78092,6.59062,6.74769,6.90021
Cyp2c37,2.82902,2.85992,3.02892,2.89843,2.99195,2.96337,2.9825,3.17733
Gm24010,2.0435,2.24186,1.92828,1.84565,2.18275,2.2261,1.97395,2.42699
Lurap1l,3.67581,3.6543,3.61284,3.70533,3.61045,4.07537,3.72204,4.28978
Tmem158,5.70431,5.70147,5.77272,5.62921,5.96213,6.02329,5.83481,5.74655
Gm14893,2.89393,2.82945,2.75424,2.83654,2.9041,2.85008,3.13118,3.09677
Mir7076,7.33249,7.13627,7.20364,7.09318,7.36014,7.63506,7.57212,7.33465
Fbxo31,6.49474,6.39493,6.27784,6.50899,6.43156,6.46769,6.42198,6.45768
9330199G10Rik,3.32574,3.4158,3.29685,3.24065,3.14711,3.22674,3.3343,3.73736
LOC102640510,4.65467,4.79083,4.6657,4.51957,4.73222,4.66765,4.60427,5.02937
Gm22416,4.3526,4.17701,4.03015,4.29602,4.34591,4.24094,4.17473,4.23923
Jmjd6,6.7255,6.67641,6.68727,6.7518,6.63859,6.66783,6.62841,6.8139
Qtrt1,6.65963,6.70989,6.66766,6.63813,6.64748,6.53462,6.55313,6.77715
Taar3,5.18685,5.01594,5.27317,5.19493,5.55206,5.22812,5.50819,5.55249
Taar8a,2.94289,2.77745,2.673,2.69351,2.72068,2.95715,2.92379,2.9805
Gm13363,7.10805,7.61573,7.70246,7.53173,7.3992,7.31922,7.49957,7.93732
Gm16282,5.12274,5.24548,5.22188,5.14412,5.2682,5.13902,5.31205,5.47393
Olfr1428,2.91207,3.11392,3.23062,3.05096,2.9785,3.12346,3.1486,3.20679
Pld4,5.05819,5.08145,5.45444,5.074,5.01405,5.03891,5.23118,5.30253
Olfr994,2.21101,2.27765,2.04537,2.08038,1.99759,2.4194,2.18225,2.47078
Olfr1016,2.44481,1.93166,2.33134,2.47139,2.27785,2.24374,2.65132,2.75121
Olfr1162,3.56812,3.3202,3.36113,3.17727,3.39591,3.56393,3.52161,3.66253
Fgf17,4.42675,4.30907,4.27461,4.45616,4.46637,4.61106,4.58213,4.64959
Smad2,7.14904,7.24963,7.21385,7.16147,7.05517,7.09933,7.02912,7.27446
Zfp616,2.36435,2.37785,2.28678,2.364,2.33624,2.38352,2.37901,2.64416
Ctdnep1,7.58014,7.57658,7.2926,7.62436,7.59233,7.563,7.37877,7.57062
Taf13,5.71111,5.86746,6.01149,6.12283,5.83263,6.00471,5.98401,6.19045
Wdr47,5.92825,6.07324,5.73724,5.96561,5.89899,5.80272,5.78145,5.92578
n-R5s14,3.77827,3.73355,3.77911,3.74088,3.71368,3.9175,3.71538,4.45493
Gm5561,11.6568,11.5802,11.0908,11.8714,11.8639,11.5104,11.4173,11.4725
2210016F16Rik,7.30162,7.31789,7.24652,7.25591,7.16333,7.39837,6.99207,6.85886
Cyp4f15,3.80574,3.70701,3.9636,3.88845,3.98808,3.87734,3.9687,4.09274
Gm26868,2.93398,2.43,2.95741,2.5244,2.48801,2.57786,2.57237,3.00068
Gm15647,2.41096,2.26236,1.96354,2.20831,2.66825,2.56377,2.6496,2.45369
Gm13498,4.19952,4.4141,4.28785,4.38495,4.0764,4.03676,4.46849,4.55662
Gm25944,3.41634,3.35352,3.4846,3.76092,3.30133,3.25029,3.72454,3.97249
Gm26502,3.33101,3.04467,3.84234,3.14054,3.20042,3.54996,3.55955,3.13149
Gm23857,2.43374,2.68394,2.58363,2.6587,2.61871,2.62841,2.67992,2.77285
2700097O09Rik,5.2439,5.27104,5.36045,5.28894,5.11887,5.20318,5.12822,5.56437
Gm13036,7.03813,6.82896,6.96756,7.09291,7.16501,7.33993,7.16223,7.19736
Kng1,3.44524,3.24253,3.3126,3.31915,3.42196,3.48018,3.38093,3.57655
Dok2,4.8529,4.55885,4.84385,4.61387,4.78105,4.6644,4.66187,4.69192
Ndst1,7.47447,7.46939,7.32443,7.51127,7.41133,7.33138,7.26045,7.42887
Gm26028,2.48854,2.49573,2.45431,2.58805,2.53951,2.73885,2.69636,2.49148
Mir152,4.5707,4.61624,4.40852,4.52628,4.4796,4.49236,4.52283,4.57633
Gm3996,3.69019,3.71694,3.78349,3.6407,3.93972,3.94711,3.82795,3.99591
Gm4016,3.50361,3.21869,3.41284,3.63338,3.68506,3.72216,3.59259,3.65142
Grsf1,7.48328,7.46619,7.56542,7.49212,7.4612,7.49962,7.51801,7.77201
Gm24475,5.32931,5.47467,6.06681,5.41536,5.61921,5.42662,5.67801,5.38455
Tsku,4.52541,4.4733,4.53617,4.51366,4.51125,4.63175,4.46107,4.83956
Gm17581,3.04379,3.09578,2.74966,3.14896,2.99894,2.56724,2.86622,3.31175
Gm11449,10.6668,10.5471,10.0506,10.8354,10.8381,10.4788,10.3774,10.2795
Nkd1,5.27908,5.17529,5.14072,5.11586,5.22241,5.319,5.24669,5.5332
D630045J12Rik,4.39682,4.39862,4.46826,4.41858,4.48282,4.52313,4.56693,4.69175
Hoxa2,3.13195,3.36763,3.21898,3.43829,3.37479,3.49418,3.22583,3.67265
Gm11957,6.13525,6.19099,6.19854,6.04754,5.85517,6.06659,6.10179,6.20766
Gm16518,3.3482,3.49158,3.13242,3.099,3.20961,3.28455,3.23274,3.75379
Ccdc40,5.19695,5.18026,5.31332,5.19834,5.19654,5.30072,5.36919,5.38021
Gm14796,2.46759,2.31669,2.32469,2.59592,2.66655,2.75889,2.55868,3.11579
Zfp623,6.96813,6.74181,6.58584,6.89646,6.73449,6.88597,6.65339,6.75726
4930573I07Rik,6.05175,6.16261,6.07653,5.94509,6.19331,5.83014,6.35088,6.20036
4930568E12Rik,4.51032,4.34506,4.07626,4.44627,4.3986,4.25888,4.29705,4.68736
Gm23044,1.83171,1.60523,1.89157,1.45439,1.79351,1.8607,1.67708,2.06447
B230208H11Rik,3.12119,3.10602,3.26441,3.10872,3.15707,3.23584,3.19402,3.61153
Gm22352,9.63842,9.46646,9.94281,9.21899,9.54888,9.84897,9.90959,10.1068
Tial1,6.28715,6.44448,6.51518,6.41282,6.42727,6.21589,6.31814,6.65711
1700034O15Rik,4.47576,4.55629,4.32925,4.23415,4.60272,4.29831,4.48482,4.75118
Gm10154,11.778,11.8526,11.8269,11.8138,11.7616,11.6939,11.7255,11.8592
Gm12638,2.83787,2.47734,2.54242,2.47305,2.47198,2.85731,2.60508,2.63197
Gm23430,3.39118,3.37947,3.43289,3.42995,3.1813,3.69426,3.55349,3.46621
Mc1r,4.05901,4.0978,3.66632,4.18284,4.11097,4.34098,4.14761,4.32986
Olfr432,3.54299,3.47839,3.4026,3.52455,3.45725,3.42294,3.2643,3.3429
Rint1,6.31631,6.36311,6.31301,6.32581,6.21783,6.15554,6.10726,6.3325
Nupl2,5.71076,5.58507,5.35886,5.64251,5.6429,5.65851,5.51152,5.61147
Gm12161,8.39744,8.424,8.52582,8.42677,8.344,8.33934,8.34589,8.4253
Ribc1,5.22008,4.94467,5.22592,5.10394,5.36081,5.33516,5.25846,5.33463
Ptger4,7.66119,7.65123,7.59412,7.88485,7.78161,7.80896,7.56304,7.68624
Gm26529,3.10849,3.04688,3.09621,3.09545,3.21054,3.21965,3.05911,3.41335
1700040F15Rik,2.32282,2.1564,2.3556,2.38041,2.42067,2.39012,2.33335,2.69252
Peak1,7.92643,8.01148,7.95549,8.22298,7.99525,8.06885,8.0716,7.97784
Gm9877,2.75879,2.37709,2.54316,2.88094,2.34997,2.98756,2.52586,2.53909
Gm11448,7.04351,7.02161,7.1714,7.28836,7.39158,7.89016,7.37049,8.00666
Ruvbl1,7.04083,7.07723,7.18684,7.05641,7.00752,7.06389,6.9714,7.29197
8030451O07Rik,2.62467,2.98789,2.66236,2.68357,2.95613,3.00765,2.68972,2.78376
Gm14500,4.45379,4.29118,4.46209,4.14238,4.35554,4.40302,4.63156,4.69284
Gm14865,4.33951,4.18663,4.07191,4.29663,4.44463,4.3058,3.92778,4.47249
Mtmr7,5.3547,5.55399,5.42129,5.14528,5.07962,5.4998,5.27243,5.78291
Olfr388-ps1,3.07861,2.70458,3.17784,2.81595,3.33694,3.10929,3.03503,3.01118
Oc90,4.06782,4.09861,4.25615,4.03497,4.11112,4.09633,4.2827,4.19279
Gm14388,7.42351,7.56702,7.53986,7.32109,7.16794,7.37238,7.18214,7.4079
Gm26414,4.24494,4.21636,4.03422,4.23339,4.30653,4.17095,4.44431,4.58735
Prpf19,7.5058,7.60407,7.56613,7.58305,7.3576,7.49757,7.30055,7.56327
Mir5099,2.58079,2.76096,2.79479,2.76374,2.58892,2.77382,2.77297,2.81445
Gm25262,11.5669,11.3968,11.4331,11.4177,11.5251,11.6756,11.5527,11.7459
Gm13294,7.98671,8.12167,7.71534,8.25483,8.01751,7.90146,8.02922,8.31409
Gm3248,6.97165,7.19268,7.39266,6.70162,7.09868,6.62726,6.72866,6.8259
Gm8246,4.64108,4.8386,5.03489,4.39152,4.62839,4.37915,4.37965,4.35282
Clec2i,8.61423,8.86611,8.8634,8.8503,8.83127,8.62823,8.6673,8.95373
Fam213b,5.47477,5.23209,5.359,5.3346,5.33791,5.50849,5.55309,5.41818
Gm16722,3.66175,3.38404,3.55315,3.42889,3.55441,3.57083,3.56397,3.71464
Prkci,5.86183,5.98545,5.95585,5.97303,5.90408,5.89492,5.80408,6.20336
Gm14678,3.00679,2.97487,3.28785,3.28049,2.99016,3.27844,2.94916,3.11329
Cd180,3.36025,3.46094,3.84057,3.49862,3.35965,3.66334,3.696,3.73128
2310068J16Rik,5.31078,5.35579,5.31906,5.5697,5.22477,5.26633,5.33978,5.34299
Zscan18,4.45112,4.40979,4.3732,4.2055,4.50103,4.36983,4.80608,4.72289
Sufu,7.19438,7.23611,6.98948,7.32618,7.24421,7.12556,7.10482,7.19024
Nfkb2,7.74799,7.74864,7.99529,7.79557,7.72838,7.95851,7.8681,7.77927
Gm12798,4.8975,5.087,5.53113,5.03021,5.02012,5.03447,5.34976,5.4416
Stam2,7.06489,7.09833,7.0756,7.19489,7.11048,6.9744,6.99329,7.17044
Gm5930,3.59811,3.4706,3.6264,3.21641,3.44482,3.48605,3.71694,3.82046
Tmem209,6.78145,6.87237,6.52853,6.91888,6.80368,6.60354,6.60566,6.7236
Zc3hav1l,4.60683,4.67279,4.60268,4.78047,4.68511,4.68375,4.60041,4.64584
Spink12,2.78964,2.95443,2.97958,2.83444,2.92392,2.79989,3.20677,3.20733
Gm23850,4.56017,4.71322,5.09206,4.71422,4.87469,4.63166,4.95842,4.88112
Mr1,8.01651,8.09112,7.80714,8.13329,7.96753,7.9451,7.75003,7.82136
Gm11336,10.3167,9.9466,9.78393,9.76783,9.61544,9.69862,9.62748,9.66054
Wdr45b,6.74346,6.75126,6.6474,6.70428,6.72347,6.64426,6.69727,6.78931
BC017643,6.70374,6.76316,6.61085,6.84535,6.7379,6.63705,6.57398,6.76928
4930581F22Rik,6.09317,6.11768,6.13367,6.17413,6.2893,6.03723,6.08665,6.11035
Gpsm1,5.98567,5.91142,5.91395,6.00029,6.07061,6.06209,6.04872,6.26068
Gm12780,3.73418,3.89388,3.93157,3.66343,3.93943,4.2367,4.17784,4.00246
C330020E22Rik,3.95467,3.7717,3.92901,3.95363,3.70395,3.82849,3.99363,4.22923
Gm13776,4.31795,4.10064,4.53315,4.30261,4.34668,4.35433,4.30487,4.23141
Gm6489,5.00235,4.99949,5.08844,5.02316,5.16065,4.99959,5.35327,5.53563
Gm26197,6.30669,5.99548,6.2743,6.092,6.23774,6.72824,6.35015,6.43684
Tnfsf11,8.01705,8.20358,8.24573,8.11962,8.00231,7.79493,7.93375,8.04934
Gm5138,12.1871,12.1267,11.8759,12.3009,12.2186,12.199,12.134,12.1734
4930545E07Rik,2.12202,2.42664,2.28831,2.02499,2.22815,2.10539,1.97702,2.25837
Spag5,5.77417,5.59872,5.51562,5.20894,5.22541,5.25245,5.3041,5.3518
Kcnk2,5.02244,4.96248,5.1084,5.05853,5.01764,5.20702,5.16005,5.33585
Gm3414,5.09581,5.48447,5.34682,4.81166,5.10309,5.14125,5.07273,5.02215
Snapc5,5.65823,6.57042,5.58393,5.69502,5.53727,6.03066,5.66643,6.32125
Dync1i2,6.82893,6.92784,6.85044,6.87853,6.84026,6.79876,6.90287,7.01606
Gca,4.29604,4.4812,4.37412,4.94216,4.85673,5.30945,4.87043,5.25699
Vps51,5.80529,5.82424,5.80184,5.89938,5.87531,5.8043,5.79851,5.97682
Nin,6.83192,6.92708,6.8159,6.90775,6.81484,6.81483,6.83405,6.9067
Gm13090,4.25842,3.93898,3.80404,4.01247,4.12514,4.32289,4.31519,4.18183
Acap3,6.44584,6.30614,6.08528,6.42012,6.31999,6.20606,6.17255,6.34455
AW011738,6.45237,6.64194,6.62859,6.59613,6.51585,6.30589,6.20847,6.52969
Gm26769,5.55336,5.41278,5.43899,5.58189,5.36543,5.58613,5.63373,5.59829
Mir6339,4.44506,4.29473,4.35786,4.23473,4.55273,4.47203,4.72838,4.99044
Kcne4,2.81175,2.82666,2.76382,3.06419,2.77534,2.79252,2.66379,3.51869
4930546C10Rik,3.24432,3.2842,3.2153,3.08678,3.22876,3.00986,3.31294,3.52891
Tubg2,6.81532,6.66737,6.58497,6.92299,6.80491,6.8162,6.73206,6.81752
Fndc3b,5.29379,5.3367,5.68069,5.19937,5.22029,5.3323,5.38024,5.51312
Cxx1b,6.86659,6.78007,6.78512,6.93986,6.87696,6.92023,6.59149,6.8108
Vmn1r125,2.6022,2.61908,2.63856,2.48383,2.60195,2.76542,2.57143,2.67883
5430416N02Rik,4.97385,5.03657,4.7708,5.01855,5.05562,4.93996,4.98865,5.31529
Mir7088,6.18443,5.89673,6.07221,6.21761,6.10155,6.53104,6.00254,6.54126
1700102P08Rik,4.99572,4.62938,4.59972,4.95063,4.83982,5.08387,4.87096,4.3623
Gm13921,10.9715,10.8589,10.3754,11.1804,11.12,10.8121,10.6907,10.6967
Hbb-bh2,4.21921,4.16844,4.14577,4.06071,4.14367,4.23644,4.27541,4.35079
Gm1966,8.18306,8.20273,8.14178,8.11456,8.11805,8.14028,7.9383,7.941
Ighv2-1,5.63982,5.66803,5.62093,5.50742,5.61999,5.80467,5.6098,5.50941
Gm12412,7.06304,7.06855,7.26163,7.06764,7.08223,7.24421,7.27466,7.23258
Jam2,3.13615,3.12505,3.19334,3.2175,3.21817,3.4402,3.26005,3.42482
Gm24132,4.30701,4.2388,4.50818,4.05091,4.4495,3.97579,4.591,4.32141
Gm24036,3.39772,3.61104,3.70963,3.41332,3.63314,3.63472,3.3613,3.51752
Efna4,6.25479,6.17986,6.3719,6.34612,6.4659,6.35718,6.49737,6.47844
Gm9097,6.02391,6.11747,6.32073,6.05484,6.05035,5.93427,6.12361,6.14455
Grap2,8.41015,8.37065,8.03957,8.22166,8.29049,7.84634,7.75814,7.76706
Vrk3,6.86195,6.83929,6.729,6.7552,6.62044,6.68712,6.53601,6.67879
Mir6969,3.16256,2.7334,3.04556,3.26281,3.02713,3.62425,2.9294,3.69239
Gm26511,4.51262,4.36787,4.59629,4.52884,4.75254,4.8306,4.35117,4.71082
Taar6,3.95345,3.85168,3.7534,4.15272,3.68148,3.62496,3.79027,3.77552
Atrn,6.36322,6.47443,6.36689,6.37147,6.30581,6.27034,6.3357,6.4939
Gm14079,5.15026,5.67898,6.02901,5.6771,5.83478,5.8222,6.03537,6.13649
Gm19854,2.94313,2.49414,2.56586,2.68501,2.77755,2.8897,2.71635,2.75662
Mir7062,2.70499,3.26251,3.28241,2.74709,3.03161,3.05803,3.14543,2.84924
4921539E11Rik,2.77839,2.45946,2.59618,2.51749,2.68929,2.78718,2.67997,2.79258
Gm15658,3.53581,3.51078,3.65039,3.53437,3.48319,3.62353,3.68494,3.73532
Slc10a2,2.5771,2.71869,2.65965,2.59425,2.59636,2.75992,2.61242,2.75935
Vmn1r-ps108,2.74245,3.04438,2.82767,2.98578,3.37416,3.02988,3.10213,3.01145
Gm23501,3.09819,3.2217,2.94288,3.0416,3.31332,3.327,3.23763,3.35085
Gm15635,4.36796,4.21254,4.23602,4.23133,4.3232,4.18567,4.33542,4.33119
P4ha3,4.60014,4.52847,4.52291,4.58284,4.6923,4.76435,4.76785,4.82813
Rps11-ps3,9.79457,9.93294,10.0778,9.69051,9.84843,9.77277,9.82097,9.87754
Gm11827,3.91502,4.09164,4.05725,4.17364,4.1298,4.15904,4.01849,4.42604
Mir6978,6.80152,6.54526,6.97345,6.41556,6.82248,6.89526,6.97928,7.16078
Gm21943,2.26256,2.42719,2.42013,2.21825,2.52204,2.28681,2.48246,2.55097
Mier2,6.55417,6.56429,6.559,6.69046,6.54768,6.54654,6.55854,6.61161
Theg,4.37538,4.18483,4.31734,4.43666,4.39804,4.61574,4.54218,4.71751
Gm14291,3.79989,3.80455,3.82592,3.62612,3.926,3.9656,4.02779,4.02477
Scara5,4.08934,3.91383,4.04163,3.98534,4.10154,4.17087,4.14153,4.311
Gm15576,5.31169,5.52227,5.58711,5.16347,5.24042,5.41462,5.42756,5.70529
Gmeb1,6.65123,6.71529,6.6967,6.66797,6.59311,6.60118,6.47074,6.65524
Ssxa1,2.90373,2.82274,2.93402,2.76811,3.02811,3.21382,3.00057,3.40064
Gm9892,9.13923,9.16397,9.13978,9.10256,8.95181,8.956,8.84668,9.13128
Gm25829,9.96994,9.83412,10.3251,9.60076,9.95608,10.1905,10.2923,10.5079
2010203P06Rik,3.8208,3.72807,3.68189,3.88631,3.90164,3.80816,4.08457,3.63433
Dck,7.54644,7.69862,7.42607,7.39196,7.30666,7.18027,7.2791,7.62456
Slc13a2,4.70207,4.57184,4.74417,4.67702,4.69706,4.7827,4.74682,4.67265
BC024139,5.03408,5.05424,5.11407,5.06106,5.11192,5.11749,5.26887,5.21634
Gm22634,11.0909,11.1177,11.7323,11.0517,10.9994,11.1977,11.508,11.3879
Smc2,6.46948,6.34263,6.35732,5.98708,5.8652,5.97775,6.09911,6.30955
Mir7243,2.62189,2.98044,2.85318,2.84408,2.82025,3.06884,2.98111,2.81354
Ubac1,6.54626,6.36765,6.41477,6.45542,6.42736,6.31842,6.46311,6.3814
Mir7092,1.76007,1.42944,1.55542,1.58728,1.63485,1.65133,1.67405,1.81198
Anapc7,6.88642,6.93491,6.89184,6.88189,6.88792,6.78703,6.76428,6.87255
A930024E05Rik,5.43066,5.56853,5.35451,5.45969,5.62557,5.69679,5.31492,5.56694
Hcrt,4.22287,4.24193,4.44896,4.06734,4.17829,4.32761,4.38641,4.46539
Gm13262,4.35354,4.2869,4.32827,4.35027,4.25644,4.28993,4.4217,4.56
4930412O13Rik,5.43212,5.32032,5.47233,5.44001,5.68911,5.54181,5.55204,5.62607
Olfr287,3.99974,3.93079,3.94916,3.88144,4.00744,3.97717,4.068,4.23919
Gm4969,3.88831,3.85689,3.99254,3.99323,3.94761,3.94245,4.08487,4.26913
Serpina3a,2.82878,3.0177,3.03274,3.05069,2.95595,2.8076,3.09582,3.29894
Slc38a11,3.97984,3.96609,3.88964,3.87531,3.85089,3.98813,3.90138,4.2073
Mir6949,2.47397,2.26517,2.35973,2.44781,2.34956,2.36214,2.14285,2.56049
Olfr316,4.48605,4.50887,4.61952,4.47355,4.65252,4.37057,4.40731,4.37073
1810065E05Rik,3.26917,3.56936,3.42312,3.51689,3.2771,3.53346,3.50099,3.85746
Lypd8,3.89099,3.89556,3.74536,3.87816,3.92117,4.03436,4.0988,4.17452
Pglyrp3,3.39836,3.39345,3.52024,3.41634,3.52201,3.51816,3.58311,3.5614
Armcx3,5.70583,5.5818,5.61746,5.68881,5.66791,5.77889,5.72273,5.75235
Gm11382,4.13658,4.34244,3.93543,4.24285,3.86901,4.18091,4.11099,4.16346
Gm24427,11.6203,11.7803,11.9911,11.6406,11.7172,11.5153,11.8491,11.6852
Gm26257,1.85868,1.79926,1.84983,1.96831,1.86033,1.91551,1.79341,1.94134
Prrc2b,8.83403,8.77646,8.61769,8.94621,8.89811,8.92071,8.84322,8.79901
Clec11a,4.38043,4.21085,4.32265,4.19547,4.45339,4.48314,4.48213,4.57374
Mrgpra2a,3.22589,3.06877,3.20364,3.01149,3.05182,3.50268,3.07102,3.38498
Gm8978,2.85359,2.9124,2.72982,2.8874,2.95557,3.03144,2.83133,3.26782
Depdc7,3.36439,3.32288,3.29436,3.37289,3.45281,3.39731,3.28732,3.67747
Qser1,5.08039,5.1177,5.08164,5.52215,5.72893,5.45611,5.21671,5.2514
Defa23,3.77067,3.30804,3.68879,3.40159,3.56195,3.91865,3.53007,3.67725
Iqsec1,6.91742,6.9058,6.94036,7.04176,6.99355,6.97066,6.91713,7.1424
Ddit4l,3.55554,3.51952,3.54734,3.49829,3.65614,3.76691,3.66709,3.94815
Gm14394,3.48978,3.69102,3.48091,3.49975,3.49123,3.30326,3.4882,3.71043
Gm3716,4.62394,4.51477,4.6206,4.55677,4.65989,4.67377,4.80558,4.65813
Ptchd4,4.29517,4.34414,4.30184,4.1581,4.23263,4.178,4.38229,4.48733
Sltm,7.60626,7.7251,7.76426,7.75441,7.5825,7.56297,7.67243,7.86003
Gclc,7.60461,7.69915,7.60223,7.66807,7.62148,7.47445,7.45546,7.66635
Pwp1,6.57705,6.68023,6.57035,6.61234,6.4602,6.4718,6.40136,6.5568
E430016F16Rik,3.80736,3.70112,3.73153,3.68908,3.65291,3.67399,3.66405,3.88519
Ngb,5.05779,4.80326,5.09294,4.92847,5.24968,5.11769,5.07803,5.0346
1700120G11Rik,2.96644,2.50592,2.65225,2.5808,2.88151,2.62339,2.72676,2.87532
Kif16b,6.48437,6.61879,6.60673,6.5389,6.52409,6.53524,6.49558,6.80222
Tktl2,2.14136,2.20373,2.24203,1.99869,1.95361,2.31072,1.96453,2.31304
Npy1r,2.99548,2.9199,2.89138,2.97772,2.93709,3.06255,2.83822,2.95035
Sh2d4a,3.76503,3.71059,3.90834,3.76286,3.90469,4.01864,3.95778,4.06798
3110079O15Rik,5.6532,5.37427,5.50281,5.53599,5.33623,5.50334,5.61124,5.60498
Gm25824,4.33722,4.14886,4.18159,3.88621,4.50826,4.09229,4.36539,4.47555
Gm22899,4.0101,3.59992,4.12291,3.97692,4.28402,4.32905,4.65681,4.3799
Gm26276,1.66681,1.90776,2.25567,2.00279,2.02537,2.24628,1.74144,2.32929
BC024978,5.71271,5.64147,5.43804,5.80736,5.76995,5.53125,5.66607,5.62423
Vmn2r8,2.04463,2.1219,2.03143,2.17112,1.93821,2.47188,2.04961,2.16196
4930506C21Rik,3.81697,3.76958,3.76938,3.59926,3.78612,3.71882,3.68069,3.85574
Ttll2,2.96881,2.76642,2.83663,2.9525,3.17281,3.18542,3.48297,2.91791
4930503E24Rik,2.6101,2.3272,2.36164,2.53487,2.30962,2.69992,2.54014,2.37903
Olfr1281,1.9741,1.97444,2.25248,2.22421,1.97005,2.23508,1.93688,2.51951
6530409C15Rik,4.85884,4.87997,5.05606,4.81006,4.75983,4.81633,4.90496,5.19189
