,b6_r1,b6_r2,b6_r3,tc_r1,tc_r2,tc_r3,tc_r4,tc_r5
Lias,6.43227,6.56733,6.46562,6.35369,6.35011,6.33264,6.24285,6.43537
Gm12317,3.10882,2.98727,3.01729,3.39172,3.18138,3.31984,3.12202,3.71862
Pex11b,6.31169,6.36792,6.21736,6.41721,6.4636,6.29711,6.19726,6.4352
Derl1,8.14503,8.31876,8.27676,8.27509,8.14688,8.04138,8.01924,7.77291
9330154K18Rik,3.54804,3.59558,3.80145,3.41257,3.42928,3.6499,3.55482,3.86156
Trpt1,5.80776,5.84475,5.84309,5.94379,5.96354,5.97181,5.68162,5.95571
Kcng3,6.02268,5.8291,5.9536,5.78735,5.73686,6.05948,5.97375,6.4098
C030005K15Rik,2.30802,2.08949,2.37138,2.08381,2.44036,2.51925,2.21272,2.68615
Gm13192,10.8255,10.7739,10.7985,10.8607,10.824,10.7391,10.7262,10.842
Ubac2,8.44488,8.65149,8.54148,8.66452,8.45712,8.32927,8.32379,8.50644
Gm23851,3.98646,3.73958,4.11287,3.60952,3.86617,4.54121,4.09543,4.39724
Gm9944,2.01748,2.03682,2.16359,2.13053,1.99021,2.12511,2.44835,2.83498
Gm24381,1.90243,1.60178,2.01045,1.69589,1.66595,1.74368,1.62835,1.83894
Gm16430,2.68588,2.55071,2.66913,2.57966,2.75296,2.93941,2.81431,3.19244
Gm16404,2.32077,2.38374,2.38629,2.37359,2.51183,2.50664,2.50124,2.66983
Gm8054,11.7938,11.8232,11.7951,11.8906,11.8398,11.7237,11.7776,11.8524
Mef2c,3.74448,3.79205,4.2918,3.65067,3.75827,3.89613,3.78203,4.03613
