Unnamed: 0,stat
Ssh3,3.8908
Jund,3.60055
Cp,4.06818
Rarb,3.48289
Gpr173,3.44087
Gm9008,-3.5243
Gm9002,-4.05699
1700003C15Rik,3.45811
Ssxb1,3.43678
Gm13332,3.72907
Nup160,-3.66715
Fhod1,3.72651
Tmem229a,3.52908
Gucy1a3,-3.92616
Tmcc3,3.55092
G630030J09Rik,4.28946
Rnf17,3.41814
Anpep,3.79457
Gas5,-4.97303
Il21r,-3.46393
Igh-VJ558,-4.3488
Ccbl2,3.34435
Sytl5,3.34143
Nmi,-3.34005
Gm15554,4.88917
Camk2d,3.51242
Igf2r,-3.37662
Gm3944,3.69004
Sorbs1,3.92924
Gm25476,-3.35945
Gm16494,-3.55727
Gm10288,-3.58978
A330017A19Rik,-3.74262
Gm11996,3.58328
Tdrd6,3.38209
Gm12947,3.3893
Ighv1-18,-5.10959
Arhgap36,3.3276
Mir6926,3.46296
Ly6c2,-3.39099
Gm3099,-3.61423
Mro,3.37085
Acsf3,3.32377
Gm4894,3.4425
Gm23273,3.73488
Zbtb4,4.52341
Tctn1,3.41463
Igkv4-92,-4.67688
2210407C18Rik,3.51153
Krt23,3.57
Psma6,-3.36223
Gm11999,3.31612
Cenpe,-4.39937
Sez6l2,3.625
Pih1d1,3.48117
Gm17606,3.3162
Lyrm9,-3.63906
1810010H24Rik,3.45715
Ighv1-19-1,-4.46079
Zfp936,-5.30766
Stard5,3.80497
4930453O03Rik,3.34155
Bco2,-3.33459
Plac9b,3.5516
Gm17113,3.47942
Ncoa3,3.40322
Zdhhc1,4.32742
Uevld,3.4876
Znhit3,-3.55979
Gm9164,3.56467
Gm12637,3.50691
Mrps30,-3.30518
Gm12865,3.34138
Msmo1,-3.70509
Gm15728,3.34567
Ryr1,3.43852
Tspan12,3.30017
9430078K24Rik,-3.29716
Marveld2,3.35842
Tjp1,3.78044
Slc35d1,-3.8689
Olfr819,5.1489
Gm12233,3.30194
Dok6,4.02082
Gm8539,3.36887
Clspn,-3.29898
Zdhhc2,-3.67104
Rps9,-3.31469
Tarsl2,-3.72851
Gm22482,-3.45715
Slc16a10,3.95524
Spata16,3.59684
Trio,3.90208
Gm13592,3.32779
Gm6944,3.8157
