,padj_TCTnvsB6Tn,padj_TCTfhvsB6Tfh,padj_B6TfhvsB6Tn,padj_TCTfhvsTCTn,log2FoldChange_TCTnvsB6Tn,log2FoldChange_TCTfhvsB6Tfh,log2FoldChange_B6TfhvsB6Tn,log2FoldChange_TCTfhvsTCTn
Stk25,4.04e-12,7.87e-06,0.990390263,0.042187305999999994,0.568024545,0.37925223,0.0,-0.19003307
Gclm,0.382137234,0.116306583,2.6300000000000002e-05,2.64e-05,0.0,0.0,-0.343186008,-0.41422436799999995
Gata4,,,,,0.0,0.0,0.0,0.0
Ptgs1,0.618781761,0.48633548,0.031458774,0.069350998,0.0,0.0,3.467332388,0.0
Ankrd2,,,,,0.0,0.0,0.0,0.0
Apoa4,,,,,0.0,0.0,0.0,0.0
Adprhl2,0.785042896,0.362794422,0.925161234,0.159353381,0.0,0.0,0.0,0.0
Atp13a2,1.98e-08,0.24687018800000002,1.09e-08,0.484718304,0.37516151,0.0,0.343075714,0.0
Pycr1,0.3088652,0.514484241,1.06e-05,0.0017240439999999999,0.0,0.0,-2.668447272,-2.78214158
Rcan2,,,,,0.0,0.0,0.0,0.0
Rbm11,0.098229419,0.143767413,1.89e-14,9.56e-12,0.0,0.0,5.333875405,8.48724214
Crygd,,,,,0.0,0.0,0.0,0.0
Mb,,,,,0.0,0.0,0.0,0.0
Cryab,0.632870344,0.9551321620000001,0.595401735,0.28325597,0.0,0.0,0.0,0.0
Bmp4,,,,,0.0,0.0,0.0,0.0
Capn1,0.34019431,0.029967797999999997,0.916936965,0.273345007,0.0,-0.131918533,0.0,0.0
Sirpa,0.142070972,0.009618219,0.07638282099999999,0.7710115040000001,0.0,-3.289799588,0.0,0.0
Mtf1,0.62992794,0.536720619,0.006941897,0.036038703,0.0,0.0,-0.213807583,-0.200374159
Oxr1,2.07e-06,0.115686632,0.004763193,8.789999999999999e-08,-0.62714381,0.0,0.342972811,0.7357902690000001
Ercc1,0.00089663,0.00018810599999999998,0.9134530829999999,0.70173759,0.293075084,0.32569802,0.0,0.0
Egfr,,,,,0.0,0.0,0.0,0.0
Grk2,,,,,0.0,0.0,0.0,0.0
