X,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
2310022A10Rik,548.8435261,-0.074321266,0.087017274,-0.854097846,0.393050777,0.554214835
2310022B05Rik,467.1558491,-0.030741475,0.133558175,-0.230172918,0.817957405,0.889419408
2310026I22Rik,1.225875189,-0.456570164,1.90534113,-0.239626467,0.810619844,NA
2310031A07Rik,22.0047652,-0.175309064,0.382517878,-0.458302929,0.64673482,0.772557872
2310033P09Rik,401.9067133,-0.116123339,0.096900169,-1.19838118,0.230768656,0.378460596
2310034G01Rik,1.825102189,-1.11164314,1.35304149,-0.821588361,0.411311216,0.571207441
2310035C23Rik,1722.327492,0.544772555,0.064774605,8.410279897,4.09E-17,2.79E-15
2310036O22Rik,1986.4032,-0.256159372,0.071494445,-3.582926934,0.000339766,0.001665124
2310039H08Rik,84.99129827,-0.727620283,0.224195054,-3.245478743,0.001172533,0.004908594
2310040G24Rik,0.406942104,-1.847554521,2.816548256,-0.655964093,0.511847228,NA
2310043L19Rik,6.739221194,3.59740002,1.033046831,3.482320366,0.000497089,0.002329638
2310043M15Rik,1.473939189,1.831171391,1.52832782,1.198153542,0.230857248,NA
2310043O21Rik,0.293350854,1.99124537,3.620463631,0.549997341,0.582321198,NA
2310044K18Rik,9.044760762,-0.386218245,0.636192111,-0.607078016,0.543799139,0.692060536
2310045N01Rik,764.267495,-0.164413942,0.097548793,-1.685453373,0.091901134,0.187087877
2310047D07Rik,1.091250705,-1.001803797,1.80051448,-0.556398634,0.577938373,NA
2310047M10Rik,397.1304913,-0.344350189,0.110527194,-3.115524567,0.001836181,0.007194571
2310057M21Rik,182.6817046,0.383311218,0.149984811,2.555666906,0.010598452,0.03193613
2310058D17Rik,43.70537106,-0.57612705,0.277960686,-2.072692575,0.038200899,0.092149282
2310061I04Rik,507.9192871,0.147884079,0.100400069,1.472947977,0.140765064,0.260201097
2310067B10Rik,2646.827052,0.128148574,0.059399955,2.15738502,0.030975677,0.078019476
